escenario,usuarios_verificados,ahorro_bruto_ARS,costo_incentivos_ARS,costo_campana_ARS,costo_asistencia_ARS,ahorro_neto_ARS,ahorro_neto_sin_costos_adicionales_ARS,ahorro_neto_costos_bajos_ARS,ahorro_neto_costos_altos_ARS,payback_incentivo_meses
QR solo conservador,37.57894,338210.46,150315.76,5000000.0,3000000.0,-7812105.3,338210.46,-2212105.3,-15812105.3,5.333333333333333
QR solo moderado,804.9408947999999,7244468.053199999,3219763.5791999996,5000000.0,3000000.0,-3975295.5260000005,7244468.053199999,1624704.4739999995,-11975295.526,5.333333333333333
Multicanal moderado,6082.324852482916,54740923.67234625,24329299.409931663,5000000.0,3000000.0,22411624.262414586,54740923.67234625,28011624.262414586,14411624.262414586,5.333333333333333
Multicanal fuerte,29400.884912823487,264607964.2154114,117603539.65129395,5000000.0,3000000.0,139004424.56411743,264607964.2154114,144604424.56411743,131004424.56411743,5.333333333333333
