escenario,entrada_al_flujo,finalizacion,retencion,conversion_final,usuarios_verificados,distancia_meta,alcanza_meta
QR solo conservador,0.01,0.010000000000000002,0.7,0.00010000000000000002,37.57894,-53646.42106,No
QR solo moderado,0.03,0.05879999999999999,0.85,0.0017639999999999997,804.9408947999999,-52879.0591052,No
Multicanal moderado,0.10578732983360012,0.126,0.85,0.013329203559033616,6082.324852482916,-47601.67514751708,No
Multicanal fuerte,0.1932254240000001,0.29835,0.95,0.057648805250400025,29400.884912823487,-24283.115087176513,No
