tasa_finalizacion,entrada_requerida,entrada_requerida_pct
0.1,0.9999962745090734,99.99962745090734
0.15000000000000002,0.6666641830060488,66.66641830060487
0.20000000000000004,0.4999981372545366,49.99981372545366
0.25000000000000006,0.3999985098036293,39.99985098036293
0.30000000000000004,0.3333320915030244,33.33320915030244
0.3500000000000001,0.2857132212883066,28.571322128830662
0.40000000000000013,0.24999906862726828,24.999906862726828
0.45000000000000007,0.22222139433534963,22.222139433534963
0.5000000000000001,0.19999925490181464,19.999925490181464
0.5500000000000002,0.1818175044561951,18.18175044561951
0.6000000000000002,0.16666604575151217,16.66660457515122
0.6500000000000001,0.15384558069370358,15.384558069370357
0.7000000000000002,0.1428566106441533,14.285661064415331
